  402.6662,  314.2813,  208.3996,    1.8489
  397.1507,  304.1536,  202.7336,    1.5903
  395.6620,  301.1117,  202.8663,    2.0891
  406.1520,  292.9336,  206.0227,    1.8205
  397.5588,  313.5588,  208.2288,    1.6446
  409.9924,  288.7681,  210.5100,    2.3368
  400.4371,  299.7601,  200.4365,    1.7194
  394.0607,  324.9766,  223.0557,    2.2123
  399.3217,  306.2793,  205.5334,    1.5641
  396.6008,  295.4458,  201.8994,    1.5911
  400.8997,  296.3985,  200.8058,    2.6697
  396.5741,  301.5906,  199.4120,    1.6115
  401.1807,  299.5904,  200.2494,    2.0448
  411.6804,  296.8519,  209.3504,    2.3736
  408.0444,  308.0000,  206.0861,    1.5206
  401.7925,  289.4224,  206.9935,    2.2369
  403.7230,  316.1161,  207.1699,    2.1343
  397.8421,  303.2543,  202.5829,    1.6681
  405.2857,  310.5714,  203.3339,    1.4293
  413.8573,  301.7411,  200.5811,    2.0040
  391.5471,  296.4789,  204.3078,    1.8096
  401.2105,  293.9388,  202.1133,    2.4813
  401.3840,  288.3524,  204.0972,    1.8975
  398.7895,  277.3158,  218.8608,    2.1023
  393.3009,  308.4336,  206.4192,    2.5788
  405.2051,  298.1640,  204.4879,    1.8915
  398.5854,  306.7805,  201.7809,    2.5003
  398.6408,  302.6760,  198.1592,    1.3575
  398.9330,  308.6387,  203.5338,    2.0253
  403.0849,  299.5688,  197.9257,    1.7580
  409.7639,  291.0688,  205.2818,    1.2965
  401.1426,  298.4115,  199.5015,    2.6935
  396.7014,  309.1882,  208.2143,    1.6160
  418.2960,  311.7890,  214.8078,    2.1824
  409.0467,  293.8324,  207.9385,    2.0301
  400.5522,  312.2985,  205.8867,    2.1510
  399.0556,  301.0000,  200.4728,    1.5987
  398.7597,  298.5247,  199.1901,    1.4853
  410.5443,  297.8258,  205.9081,    1.5784
  399.6512,  297.6596,  200.1956,    1.5963
  394.2095,  301.3401,  201.4190,    1.9763
  413.2152,  301.6203,  206.8959,    2.2294
  393.6777,  306.1730,  204.2185,    1.8110
  412.8974,  284.0256,  216.2046,    1.7064
  399.6239,  294.5784,  200.5948,    2.3891
  390.4138,  319.7241,  215.3720,    1.7241
  396.2262,  312.0977,  208.5474,    2.2509
  406.7179,  298.9744,  202.2008,    1.4901
  399.6797,  297.4909,  199.4493,    2.9405
  401.5411,  294.2035,  203.4466,    1.7123
  401.7937,  300.2966,  200.5107,    2.0155
  399.0000,  300.5000,  198.5705,    0.0039
  401.4142,  304.2722,  202.4707,    1.8861
  405.7157,  303.3477,  201.6197,    1.9865
  410.2029,  285.9972,  216.2219,    2.0208
  396.1819,  321.7800,  212.6617,    1.9038
  405.2876,  303.6777,  205.5825,    2.0767
  399.9797,  295.7978,  200.3925,    1.4862
  390.8917,  309.8581,  205.0605,    2.2255
  397.8225,  301.9829,  201.2685,    1.9189
  395.8140,  305.5274,  204.8587,    2.0334
  386.8870,  300.5823,  205.8414,    3.1027
  399.9401,  306.2347,  203.2948,    2.6535
  401.4848,  295.8636,  200.6813,    1.5306
  393.2757,  324.3840,  216.1116,    2.1526
  414.7174,  304.5096,  209.4100,    2.1544
  411.1422,  293.6393,  208.5568,    2.3601
  414.3433,  297.5075,  210.4737,    2.2727
  394.2437,  297.3618,  197.5305,    2.1024
  407.3753,  290.8843,  208.9564,    1.9505
  399.6081,  304.4664,  199.3180,    1.6089
  402.9661,  301.7337,  200.8917,    1.6376
  392.9670,  309.0796,  205.2343,    1.7506
  401.1793,  302.1642,  198.5054,    1.5661
  402.1045,  306.9104,  203.6654,    1.3601
  395.3515,  306.0650,  202.9645,    1.9835
  392.9787,  308.6991,  207.7653,    2.3438
  402.0465,  302.8645,  201.9318,    2.5396
  399.7684,  304.2384,  202.8157,    1.7698
  399.8685,  299.2458,  196.7400,    2.0067
  402.1859,  299.3419,  198.9027,    1.6515
  410.5714,  303.7460,  206.9479,    2.3372
  399.2843,  316.1410,  214.0490,    1.8107
  398.8928,  301.0351,  200.4583,    2.3856
  407.4361,  287.3437,  208.2930,    2.6629
  408.6299,  294.7481,  208.0418,    2.4703
  403.7674,  295.1488,  202.2828,    2.7858
  396.7966,  304.6949,  203.4005,    2.1161
  400.5328,  292.1205,  204.9445,    2.9230
  393.2290,  305.7563,  203.7218,    2.1541
  396.4178,  286.1619,  206.8850,    2.2776
  398.3033,  301.2421,  197.9198,    1.6525
  396.5825,  301.9897,  201.3499,    1.5662
  394.3018,  300.4247,  203.0966,    2.2629
  416.9846,  292.5577,  207.9764,    1.5171
  407.6686,  312.0000,  206.5591,    1.6223
  396.2576,  305.1203,  203.4320,    1.8967
